Offense.Code,Offense.Category,Offense.Description,Offense.Level
31212,417.27(A),SELL LASER POINTER TO JUV,I
33054,417.27(B),STDNT POSS LASR PNTR,I
53134,417.27(C),AIM LSR PNTR:INT TO HAR,I
53135,417.27(D),AIM LSR PNTR:GUIDE DOG/ET,I
52175,417.3,EXH F/ARM PRES VEH OCCUPT,F
52240,417.4,BRANDISHING F/ARM REPLICA,M
52171,417.6(A),EXH F/ARM/DLY WPN W/SBI,F
52148,417.8,EXH F/ARM/ETC:RSIST AREST,F
32006,418,FORCIBLE ENTRY,M
32007,419,RETAKE LAND AFT LEGAL REM,M
53033,420,PREVENT PUBLIC LAND ENTRY,M
51352,420.1,PRVNT ENTRY OF PRVT LAND,I
16001,422,THRTN CRIME:INT:TERRORIZE,F
16018,422,THREAT CRIME:INT:TERORIZE,M
16048,422(A),THRTN CRIME:INT:TERRORIZE,M
16049,422(A),THRTN CRIME:INT:TERRORIZE,F
16050,422.4(A),PUBLSH INFO ACADEMC VIOL,M
56022,422.6(A),VIO CIVIL RGHTS:FRCE/THRT,M
56021,422.6(B),DAMAGE PROP:VIO CIVL RGHT,M
56025,422.7(A),CIV RGT VIOL:VIOLENT INJ,F
29123,422.7(B),VIOL CIV RGTS:PROP DAMAGE,F
56031,423.2(A),VIOLENCE/ETC:REP HLTH SVS,M
56032,423.2(B),FORCE ON PRSN:PLCE WRSHIP,M
56033,423.2(C),NONVIOL OBST:REP HLTH SVS,M
56034,423.2(D),NONVIOL OBST:PLCE WORSHIP,M
56035,423.2(E),DAMAGE PROP:REP HLTH SVS,M
56036,423.2(F),DAMAGE PROP:PLACE WORSHIP,M
27058,424(A)1,EMBEZZLEMENT BY PUB OFCR,F
27059,424(A)2,EMBEZZLEMENT BY PUB OFCR,F
27060,424(A)3,EMBEZZLEMENT BY PUB OFCR,F
27061,424(A)4,EMBEZZLEMENT BY PUB OFCR,F
27062,424(A)5,EMBEZZLEMENT BY PUB OFCR,F
27063,424(A)6,EMBEZZLEMENT BY PUB OFCR,F
27064,424(A)7,EMBEZZLEMENT BY PUB OFCR,F
27012,425,FAIL TO PAY PUBLIC MONEY,F
48019,428,HINDER REVENUE COLLECTION,M
48159,429,TELE PRVDR FL COLLECT FEE,M
48046,431,FAIL DEL/ETC TAX RECT/ETC,M
66072,432,POSS BLNK LIC/POLL TX REC,F
31325,432.6(A),REQ APP TO WV RIGHT FEHA,M
31005,436,UNLAWFUL AUCTIONEER,M
61004,439,PROCURING INSURANCE,M
48096,440,REFUSE RECORDS INSPECTION,M
35424,443.17(A),ALTER REQ/AID DYING DRUG,F
35425,443.17(B),COERCE IDV AID DYING DRUG,F
20017,451,MAL SET/ETC FIRE PROP/ETC,F
20018,451(A),ARSON CAUSING GBI,F
20019,451(B),ARSON:INHABITED STRUCTURE,F
20020,451(C),ARSON:FOREST LAND,F
20036,451(D),ARSON:PROPERTY,F
20050,451(E),ARSON:WHILE CONFINED,F
20051,451(E),ARSON:WHILE CONFINED,M
20061,451.1(A),ARSON:SENTENCE ENHANCEMNT,F
20055,451.5,AGGRAVATED ARSON,F
20052,451.5(A),AGGRAVATED ARSON,F
20041,451.5(A)(1),AGGRAVATED ARSON W/PRIOR,F
20053,451.5(A)(2)(A),"AGG ARSON:+$5,000,000 PD",F
20059,451.5(A)(2)(A),"AGG ARSON:+$6,500,000PD",F
20054,451.5(A)(3),AGG ARSON:5+ INHAB STRUCT,F
20056,451.5(B),AGGRAVATED ARSON:PUNISH,F
20057,451.5(C),AGG ARSON:PAROLE ELIGIBTY,F
20022,452(A),ARSON:CAUSE GBI,F
20063,452(A),UNLAW CAUSE FIRE W/GBI,M
20023,452(B),CAUSE FIRE OF INHAB STRUC,F
20048,452(B),CAUSE FIRE OF INHAB STRUC,M
20024,452(C),CAUSE FIRE OF STRUC/FORES,F
20043,452(C),CAUSE FIRE:STRUCTR/FOREST,M
20033,452(D),CAUSING FIRE OF PROPERTY,M
20026,453(A),POS/ETC ARSON MATERIL/DEV,F
20044,453(A),ARSON:POS/ETC MAT/DEVICE,M
20060,453(B),POSSESS/MFG/DISP FIREBOMB,M
20038,454(A)(1),ARSON:STATE OF INSURRECTN,F
20039,454(A)(2),ARSON:STATE EMERGENCY,F
20028,455,AID IN ARSON,F
89096,457.1,REG OF ARSON OFFENDER,X
20047,457.1(H),FAIL REG:ARSON OFFENDER,M
22004,459,BURGLARY,F
22021,459,BURGLARY:FIRST DEGREE,F
22022,459,BURGLARY:SECOND DEGREE,F
22133,459,BURGLARY:SECOND DEGREE,M
23211,459.5,SHOPLIFTING,M
23212,459.5,SHOPLIFTING,F
22124,460(A),BURGLARY:FIRST DEGREE,F
22125,460(B),BURGLARY:SECOND DEGREE,F
22131,460(B),BURGLARY:SECOND DEGREE,M
22009,461.1,BURGLARY:FIRST DEGREE,F
22010,461.2,BURGLARY:SECOND DEGREE,F
22123,463(A),BURG/ETC:STATE EMERG/ETC,F
22134,463(A),LOOTING DURING ST EMERG,M
22135,463(B),LOOT/GRAND THEFT ST EMERG,M
23124,463(B),GRAND THEFT:STATE EMERG,F
23125,463(C),PETTY THEFT:STATE EMERG,M
22011,464,BURGLARY W/EXPLOSIVES,F
22012,466,POSSESS BURGLARY TOOLS,M
22027,466.1,SELL LOCK PICK/ETC,M
22025,466.3(A),POSSESS TAMPER DEVICE,M
22014,466.5(A),POSS/USE VEH MASTER KEY,M
22015,466.5(B),POSSESS VEH MASTER KEY,M
22016,466.5(C),MFG/SELL VEH MASTER KEY,M
22128,466.6(A),MAKE VEH/ETC KEY W/O ORDR,M
22136,466.65(A),POSS MOTORCYCL IGNITN DVC,M
22137,466.65(B),POSS HRDWR MOTORCYCL THFT,M
22127,466.7,ILLEGAL POSS OF VEH KEY,M
22129,466.8(A),MAKE RES/ETC KEY W/O ORDR,M
23152,466.9(A),POSS CODE GRAB DEV:CRIME,M
23153,466.9(B),USE CODE DEV:VEH ALR:CRIM,M
52006,468,BUY/SELL SNIPERSCOPE,M
22024,469,ILLEGAL POSS BUILDING KEY,M
25006,470,FORGERY,F
25083,470,FORGERY,M
25064,470(A),FORGERY,F
25076,470(A),FORGERY:INTENT:DEFRAUD,M
25093,470(B),FORGE/ETC HANDWRITING/ETC,F
25115,470(B),FORGE/ETC HANDWRITING/ETC,M
25092,470(C),ALTER/ETC WILL/ETC,F
25122,470(C),ALTER/ETC WILL/ETC,M
25086,470(D),FALSE CHECK/RECS/CERT/ETC,F
25087,470(D),FALSE CHECKS/REC/CERT/ETC,M
25031,470A,ALT/FORGE/ETC DRIV LIC/ID,F
25097,470A,ALT/FORGE/ETC DRIV LIC/ID,M
25032,470B,POSS DL/ID TO CMMT FORGRY,F
25123,470B,POSS DL/ID COMMIT FORGERY,M
25007,471,MAKE FALSE ENT IN RECORDS,F
25124,471,MAKE FLS ENTRIES IN RCRDS,M
26119,471.5,ALTER MEDICAL RECORDS,M
25008,472,FORGE OFFICIAL SEAL,F
25096,472,FORGE/ETC OFFICIAL SEAL,M
25116,473(B),FORGERY:CHECK ETC -$950,M
25010,474,SEND FORGD TELE MSG:FRAUD,F
25125,474,SEND FORGED TELE MSG DFRD,M
25090,475(A),POS/ETC BAD/ETC CHEKS/ETC,F
25091,475(A),POS/ETC BAD/ETC CHECK/ETC,M
25084,475(B),POS BLANK CHEC/ETC:DEFRAD,F
25085,475(B),POS BLANK CHECK/ETC:FRAUD,M
25088,475(C),PAS COMPLET CHECK/ETC:DEF,F
25089,475(C),PASS COMPLETED CHECK/ETC,M
25013,476,MAKE FICTITIOUS CHECK,F
25082,476,MAKE/ETC FICT CHECK/ETC,M
26016,476A(A),INSUFICENT FUND:CHECK/ETC,F
26507,476A(A),INSUFICNT FUND:CHECK/ETC,M
26017,476A(B),NONSUFFICIENT FUNDS:CHECK,M
26107,476A(B),NONSUFFICIENT FUNDS:CHECK,F
25014,477,COUNTERFEITING,F
25015,478,COUNTERFEITING,F
25016,479,POSS/RECEIVE CNTRFT COIN,F
25095,480(A),MAKE/ETC COUNTRFT PLT/ETC,F
25018,481,FORGE RR/STEAMSHIP TICKET,F
25127,481,FORGE RR/STEAMSHIP TICKET,M
25061,481.1(A),COUNTERFT FARE MEDIA TRAN,F
25126,481.1(A),CNTRFEIT FARE/MEDIA TRNSP,M
25060,481.1(B),POSS/CNTRFT PUB TRAN FARE,M
25019,482,RESTORE RR/ETC TICKET,M
26018,483,UNAUTHORIZED TICKET SALE,M
26378,483.5(A),MFG/ETC FALSE ID DOCUMENT,F
26601,483.5(A),MFG/ETC FALSE IDENT DOC,M
26602,483.5(B),POSSESS DOC-MAKING DEVICE,M
23008,484,THEFT,M
23076,484,THEFT,F
23009,484(A),THEFT PERSONAL PROPERTY,F
23079,484(A),THEFT OF PERSONAL PROP,M
23087,484(A),PETTY THEFT,M
23091,484(A),GRAND THEFT,F
23098,484(A),THEFT,F
23099,484(A),THEFT,M
23160,484(A),PETTY THEFT:$50-,I
23085,484(A)/488,THFT PRSNL PROP/PTY THFT,M
23092,484(A)/666,THFT/PTY THFT W/PRIOR,F
23161,484(A)/666,PETTY THEFT/THEFT W/PRIOR,M
23010,484(B),THEFT:RENTAL PROP,M
23074,484(B),THEFT:RENTAL PROP $400+,F
23218,484(B)(1),THEFT:RENTAL PROPERTY,M
23219,484(B)(1),THEFT:RENTAL PROPERTY,F
23138,484.1(A),FALS INF/ETC:PAWNBRKR/ETC,M
23139,484.1(A),FALS INF/ETC:PAWNBRKR/ETC,F
26019,484B,DIVERSION OF FUNDS,M
26064,484B,DIVERT FUNDS $1000+,F
27013,484C,OBTAIN MONEY BY FLS VOUCH,F
27066,484C,OBT MONEY BY FLS VOUCHER,M
30058,484E(A),ACQ ACC CARD:INT:SELL/ETC,M
30067,484E(A),SELL/ETC LOST/ETC ACC CRD,F
30068,484E(B),GRAND THEFT ACC CARDS 4+,F
30076,484E(B),ACQ ACCES CRD INT SELL 4+,M
30066,484E(C),SEL/ETC ACCESS CARD:FRAUD,M
30069,484E(D),USE ACC ACOUNT INFO NO OK,F
30070,484E(D),USE ACC ACOUNT DATA:NO OK,M
30062,484F(A),FORGE ACCESS CARD:DEFRAUD,F
30075,484F(A),FORGE ACCESS CARD:DEFRAUD,M
30063,484F(B),FORGE NAME:ACC CARD/ETC,F
30074,484F(B),FORGE NAME:ACC CARD/ETC,M
30043,484G,THFT:USE ACCESS CRD DATA,F
30044,484G,THFT:USE ACCESS CARD DATA,M
30045,484G(A),THEFT:FORGED ACCESS CARD,F
30046,484G(A),THEFT:FORGED ACCESS CARD,M
30047,484G(B),THEFT:CRDT CRD HLDR $400+,F
30048,484G(B),THEFT:MISREP AS CARD HLDR,M
30051,484H(A),MRCH ACPT BAD A/CRD $400+,F
30052,484H(A),MRCH ACPT BAD A/CRD -$400,M
23192,484H(B),FAIL FURNISH GOODS/SRV,F
23193,484H(B),FAIL FURNISH GOODS/SRV,M
30055,484I(A),UNLAWFUL ACCESS CARD POSS,M
30071,484I(B),ALT/ETC ACC ACCOUNT DATA,F
30077,484I(B),ALTER/ETC CARD ACCNT INFO,M
30072,484I(C),MAKE/ETC EQUIP:FAKE CARDS,F
30073,484I(C),MAKE/ETC EQUIP:FAKE CARD,M
26195,484J,PUBLIC ACCESS CARD NBR,M
23012,485,APPROPR LOST PROP,F
23106,485,APPROPR LOST PROP,M
23013,487,GRAND THEFT,F
23132,487(A),GRDTHFT:MONEY/LABOR/PROP,F
23157,487(A),GRDTHFT:MONEY/LABOR/PROP,M
23135,487(B)(1)(A),GRND THEFT:FOWL/FRUIT/ETC,F
23228,487(B)(1)(A),GRAND THFT FOWL/FRUIT/ETC,M
23183,487(B)(2),G/THFT:FISH/ETC,F
23184,487(B)(2),GRTHFT:FISH/ETC,M
23142,487(B)(3),GRAND THFT BY SERVANT/ETC,F
23158,487(B)(3),GRAND THFT BY SERVANT/ETC,M
23133,487(C),GRAND THEFT FROM PERSON,F
23165,487(C),GRAND THEFT FROM PERSON,M
23185,487(D)(1),GRAND THEFT:AUTO,F
23186,487(D)(1),GRAND THEFT:AUTO,M
23187,487(D)(1),GRANDTHEFT:HORSE/GOAT/ETC,F
23188,487(D)(1),GRANDTHEFT:HORSE/GOAT/ETC,M
23189,487(D)(2),GRAND THEFT:FIREARM,F
23077,487A(A),GRAND THEFT:ANML CARCASS,F
23207,487A(A),GRAND THFT:ANIMAL CARCASS,M
23078,487A(B),GRAND THEFT:CARCAS PORTN,F
23208,487A(B),GRAND THEFT:CARCASS PORTN,M
23209,487A(C),G/THFT:CARCAS W/O CONSENT,M
23210,487A(C),G/THFT:CARCAS W/O CONSENT,F
23018,487B,GRAND THEFT:CONVERT PROP,F
23019,487C,PETY THFT:CNVRT REAL PROP,M
23020,487D,GRAND THEFT:GOLD DUST/ETC,F
23021,487E,GRAND THEFT:DOG,F
23229,487E,GRAND THEFT DOG $950+,M
23022,487F,PETTY THEFT:DOG,M
23123,487G,STEAL/ETC ANML F/SALE/ETC,F
23230,487G,STEAL/ETC ANML F/SALE/ETC,M
23190,487H(A),GRAND THEFT:CARGO EX$950,F
23231,487H(A),GRAND THEFT CARGO $950+,M
23180,487I,GRAND THEFT:PHAP $400+,F
23181,487I,GRAND THEFT:PHAP $400+,M
23203,487J,GRAND THEFT:COPPER,M
23204,487J,GRAND THEFT:COPPER,F
28046,487K,GRAND THEFT: AG EQUIPMENT,F
23024,488,PETTY THEFT,M
23025,489,GRAND THEFT,F
23026,490,PETTY THEFT,M
23126,490.1(A),PETTY THEFT -$50,M
23166,490.1(A),PETTY THEFT-$50 W/O PRIOR,I
23216,490.2,PETTY THEFT:-$950 W/PRIOR,F
23217,490.2,PETTY THEFT:-$950,M
23220,490.4(A)(1),ORG RETAIL THEFT INT/SELL,M
23221,490.4(A)(1),ORG RETAIL THEFT INT/SELL,F
23222,490.4(A)(2),ORG RETAIL THEFT:RCV/POSS,M
23223,490.4(A)(2),ORG RETAIL THEFT:RCV/POSS,F
23224,490.4(A)(3),ORG RETAIL THEFT:AGENT,F
23225,490.4(A)(3),ORG RETAIL THEFT:AGENT,M
23226,490.4(A)(4),ORG RTL THEFT ORGANIZES,M
23227,490.4(A)(4),ORG RTL THEFT ORGANIZES,F
23105,490.5(A),PETTY THEFT RETAIL/ETC,M
23232,490.7(B),THEFT 25+ FREE NEWSPAPERS,I
23176,490.7(B)(1),THFT:25+ FREE NWSPR:RECYC,M
23177,490.7(B)(2),THFT:25+ FREE NWSPRS:SELL,M
23178,490.7(B)(3),THFT:25+ FREE NWSPRS:DPRV,M
23179,490.7(B)(4),THFT:25+ FREE NWSPRS:HRM,M
23027,495,REMOVE PART OF REALTY,F
28024,496(A),REC KNWN STOLN PROP,M
28025,496(A),REC KNWN STOLN PROP,F
28022,496(B),DLR NOT DETERMIN OWNRSHIP,F
28023,496(B),DLR/ETC:UNDTRM OWN:STL PR,M
28037,496(D),ATT 496 PC:STOLEN PROP,F
28038,496(D),ATTEMPT 496PC:STOLEN PROP,M
31054,496A(A),BUSINESS PRACTICE VIOL,F
31315,496A(A),DLR BUY METAL/ETC W/O DIL,M
31007,496B,BUSINESS PRACTICE VIOL,M
23028,496C,COPY/ETC RELTY TITLE INFO,F
23148,496C,COPY/ETC RELTY TITLE INFO,M
28035,496D(A),POSS STOLEN VEH/VES/ETC,F
28036,496D(A),POSS STOLEN VEH/VES/ETC,M
28042,496E,BUY/REC STOLEN FIREHYDRNT,M
28007,497,BRNG STOLEN PROP INTO ST,F
23116,498(B)(1),THEFT OF UTILITY SERVICES,M
23233,498(B)(1),THFT UTIL SRVS DVRT $950+,F
23111,498(B)(2),THEFT OF UTILITY SERVICES,M
23234,498(B)(2),THFT UTIL SRVS TAMPER MTR,F
23122,498(B)(3),THEFT OF UTILITY SERVICES,M
23235,498(B)(3),THFT UTIL SRVS TAMPR PROP,F
23113,498(B)(4),THEFT OF UTILITY SERVICES,M
23236,498(B)(4),THFT UTIL SRVS W/O CNSNT,F
23114,498(B)(5),THEFT OF UTILITY SERVICES,M
23237,498(B)(5),THFT UTIL SRVS RCV BENEFT,F
23215,498(C)(2),ALTER METER UTILITY SVS,M
23117,498(D),THEFT UTILITY SERV $400+,F
24068,499B(A),TAKE BIKE W/OUT PERMISION,M
23191,499B(B),TAKE VESSEL W/O PERMISION,M
23035,499C(B)(1),THEFT TRADE SECRETS:STEAL,F
23238,499C(B)(1),THEFT TRADE SECRETS:STEAL,M
23036,499C(B)(2),THEFT TRADE SECRETS:FRAUD,F
23239,499C(B)(2),THFT TRADE SECRETS FRAUD,M
23037,499C(B)(3),THEFT TRADE SECRET:ACCESS,F
23240,499C(B)(3),THEFT TRADE SECRET:ACCESS,M
23038,499C(B)(4),THEFT TRADE SECRETS:COPY,F
23241,499C(B)(4),THEFT TRADE SECRET: COPY,M
23039,499C(C),THEFT OF TRD SECRTS:BRIBE,F
23242,499C(C),THEFT TRADE SECRETS:BRIBE,M
24006,499D,TAKE AIRCRAFT W/O CONSENT,F
24069,499D,TAKE AIRCRAFT W/O CONSENT,M
23167,500,FAIL TRNSF $ FOREIGN CNTY,F
23168,500,FAIL TRNSF $ FOREIGN CNTY,M
23169,500(A)(1),FAIL SEND $:10 DAYS RCPT,F
23170,500(A)(1),FAIL SEND $:10 DAYS RCPT,M
23171,500(A)(2),FAIL GIVE INST W/IN 10DAY,F
23172,500(A)(2),FAIL GIVE INST W/IN 10DAY,M
23173,500(A)(3),FAIL TO REFUND CUSTOMER,F
23174,500(A)(3),FAIL TO REFUND CUSTOMER,M
26287,502(C)(1)(A),ACC COMP/ALT DATA:DEFRAUD,F
26626,502(C)(1)(A),ACC COMP/ALT DATA:DEFRAUD,M
26232,502(C)(1)(B),ALT/ETC COMPUTER SYS/ETC,F
26627,502(C)(1)(B),ALT/ETC COMPUTER SYS/ETC,M
26647,502(C)(10),DSRPT/DENY GOV CMPTR SRVS,F
26648,502(C)(10),DSRPT/DENY GOV CMPTR SRVS,M
26649,502(C)(11),ALTER CMPTR SRVS PUB SFTY,F
26650,502(C)(11),ALTER CMPTR SRVS PUB SFTY,M
26651,502(C)(12),DSRPT PUB SFTY CMPTR SRVS,F
26652,502(C)(12),DSRPT PUB SFTY CMPTR SRVS,M
26653,502(C)(13),PRVD ACC PUB SFTY CMPTR,F
26654,502(C)(13),PRVD ACC PUB SFTY CMPTR,M
26655,502(C)(13),PRVD ACC PUB SFTY CMPTR,I
26656,502(C)(14),CONTAM PUB SFTY CMPTR INJ,F
26657,502(C)(14),CONTAM PUB SFTY CMPTR,M
26222,502(C)(2),UNAUTH USE COMPUTER DATA,F
26658,502(C)(2),UNAUTH COPY/USE CMPTR DAT,M
26350,502(C)(3),UNAUTH USE/ETC COMP SVS,M
26659,502(C)(3),UNAUTH USE COMPUTER SRVS,F
26263,502(C)(4),UNAUTH ALTER COMPUTR DATA,F
26660,502(C)(4),UNAUTH ALTER CMPTR DATA,M
26351,502(C)(5),DISRUPT/DENY/ETC COMP SVS,F
26661,502(C)(5),DISRUPT/DENY CMPTR SRVS,M
26352,502(C)(6),PROVID/ASIST ACC:COMP/ETC,F
26556,502(C)(6),UNAUTH ASST:ACC COMPUTER,I
26662,502(C)(6),PRVD/ASSIST ACCESS CMPTR,M
26253,502(C)(7),CMPTR ACC:VCTM LOS $5000+,F
26254,502(C)(7),CMPTR ACC:VCTM LOS -$5000,M
26557,502(C)(7),UNAUTH ACCES COMPUTER SYS,I
26663,502(C)(8),INTRO CONTAM TO COMPUTER,F
26664,502(C)(8),INTRO CONTAM TO COMPUTER,M
26665,502(C)(9),USE INTRNT DMN DMG CMPTR,M
26666,502(C)(9),USE INTRNT DMN DMG CMPTR,I
23093,502.5,REMOVAL OF STRUCTURE/FIXT,F
23096,502.5,REMOVAL OF STRUCTURE/FIXT,M
26573,502.6(A),FRAUD:POSS/USE SCAN DVICE,M
26574,502.6(B),FRAUD:POSS/USE KEENCODER,M
26203,502.7(A),FRAUD:TELEPHONE SERVICE,F
26204,502.7(A),FRAUD:TELEPHONE SERVICE,M
26118,502.7(A)(1),FRAUD:TELEPHONE SERVICE,F
26124,502.7(A)(1),FRAUD:TELEPHONE SERVICE,M
26316,502.7(A)(2),OBT TELE/TEL:BAD CARD/ETC,F
26505,502.7(A)(2),OBT TEL/TELE:BAD CARD/ETC,M
26275,502.7(A)(3),OBT TEL SVS:CDE/ETC $400+,F
26276,502.7(A)(3),OBT TEL SVS:CDE/ETC -$400,M
26213,502.7(A)(4),FRAUD:TELEPHONE SERVICE,M
26214,502.7(A)(4),FRAUD:TELEPHONE SERVICE,F
26245,502.7(A)(5),OBT TELE/TELE SERV:FRAUD,F
26246,502.7(A)(5),OBT TELE/TELE SERV:FRAUD,M
26149,502.7(B)(1),FRAUD USE OF TELEPHONE,F
26150,502.7(B)(1),FRAUD USE OF TELEPHONE,M
26380,502.7(B)(2),AD/ETC PLN/ETC:NO TEL TOL,F
26667,502.7(B)(2),SELL/ETC INSTRMT AVD TOLL,M
26200,502.7(C),FRAUD USE OF TELEPHON/ETC,F
26201,502.7(C),FRAUD USE:TELEPHONE/ETC,M
26385,502.7(D),ISSUER GAIN:TELCOM FRAUD,F
26386,502.7(D),TELCOM FRAUD:ISSUER GAIN,M
26534,502.8(A),ADV ILLEGAL TELECOM EQUIP,M
26535,502.8(B),NO PAY/ETC:IL TELCM EQUIP,M
26536,502.8(B),NO PAY/ETC ILL TELE EQ:PR,F
26537,502.8(D),SELL/ETC ILL TELCOM EQUIP,M
26538,502.8(D),SEL/ETC ILLEGAL TELCOM EQ,F
26539,502.8(E),POS 10+ IL TELCOM:SEL/ETC,F
26540,502.8(F),MFG IL TELCOM 10+:SEL/ETC,F
27014,503,EMBEZZLEMENT $400+,F
27023,503,EMBEZZLEMENT,M
27015,504,EMBEZL PROP:OFFICER $400+,F
27024,504,PUB/PRIV OFCR EMBZEL PROP,M
27016,504A,EMBEZZLE PROP UNDER LEASE,F
27025,504A,EMBEZZLE PROP UNDER LEASE,M
27017,504B,DEBTR EMBEZZLE PROP PROCE,F
27026,504B,DEBTR EMBEZL PROP PROCEED,M
27018,505,CARRIER EMBEZZLE PROPERTY,F
27027,505,CARRIER EMBEZZLE PROPERTY,M
27019,506,EMBEZZLE PRIVATE PROPERTY,F
27028,506,EMBEZZLE PRIVATE PROPERTY,M
27051,506B,REAL PROPERTY VIOLATION,F
27020,507,EMBEZ BY BAILE/ETC $400+,F
27029,507,EMBEZZLMENT BY BAILEE/ETC,M
27021,508,EMBEZ BY EMPLOYEE $400+,F
27030,508,EMBEZZLEMENT BY EMPLOYEE,M
27022,514,EMBEZZLEMENT,F
27031,514,EMBEZZLEMENT,M
21005,518,EXTORTION,F
21024,518(A),EXTRTN FRC/FEAR/OFCL RT,M
21007,519.1,EXTORTION BY THREAT:INJ,F
21008,519.2,EXTORTION BY THREAT,F
21009,519.3,EXTORT BY THREAT:DISGRACE,F
21010,519.4,EXTORTION BY THREAT,F
21022,519.5,EXTORT BY THREAT:IMMIGRTN,F
21011,520,EXTORTION,F
21012,521,EXTORT UNDR COLOR OF OFCL,M
21013,522,OBTAIN SIGNATURE BY THRT,F
21014,523,THRTNG LTR W/INT TO EXTOR,F
21023,523(B)(1),THRTN RANSOMWARE EXTORT $,F
21015,524,ATTEMPTED EXTORTION,F
21025,524,ATTEMPTED EXTORTION,M
29153,525(A),ABANDONMENT OF VESSEL,I
29154,525(B),ABANDON VESSEL:LIABILITY,I
21016,526,EXTORT W/FALSE COURT DOC,M
25020,527,SELL FALSE COURT DOCUMENT,M
44009,528,FALSE PERSONATION,F
44074,528.5(A),IMPERSN W/O CNSNT:WEBSITE,M
44010,529,FALSE PERSONATE:SPEC CIRC,F
44048,529,FALSE PERSONATION:SP CIRC,M
44075,529(A),FALSE PERSONATE:SPEC CIRC,F
44076,529(A),FALSE PERSONATE:SPEC CIRC,M
44077,529(A)(1),PERSONATE TO POST BAIL,F
44078,529(A)(1),PERSONATE TO POST BAIL,M
44079,529(A)(2),PERSNATE:RECORDED DOCUMNT,F
44080,529(A)(2),PERSNATE:RECORDED DOCUMNT,M
44081,529(A)(3),PERSNATE:MAKE OTHR LIABLE,F
44082,529(A)(3),PERSNATE:MAKE OTHR LIABLE,M
44011,529.1,PERSONATE TO POST BAIL,F
44012,529.2,PERSNATE:RECORD DOCUMENT,F
44056,529.2,PERSONATE:RECORD DOCUMENT,M
44013,529.3,PERSNATE:MAKE OTHR LIABLE,F
44055,529.3,PERSNATE:MAKE OTHR LIABLE,M
26285,529.5(A),MFG/ETC DECEPTIVE GOVT ID,M
26668,529.5(B),MFG DECEPTIVE GOV ID W/PR,F
26264,529.5(C),POSS DECEPTIVE GOVT ID,M
44116,529.6(B)(1),FLS REP CENSUS TKR INTRFR,M
44117,529.6(B)(2),CENSUS ACTIVTY INT INTRFR,M
26575,529.7,OBT/ASSIST OBT DMV DOC,M
26123,529A,POSS FALSE BIRTH DOCUMENT,M
26353,529A,DECV W/FAKE BIRTH/ETC CRT,F
44014,530,PERSONATE GET MONEY/PROP,F
44043,530,PERSONATE GET MONEY/PROP,M
44050,530.5(A),GET CREDIT/ETC OTHER'S ID,F
44053,530.5(A),OBT CREDIT/ETC:OTHER'S ID,M
44067,530.5(C)(1),POSS PRSNL ID WIT DEFRAUD,M
44070,530.5(C)(2),USE ID W/INT DEFRD:W/PC,F
44071,530.5(C)(2),USE ID W/INT DEFRD:W/PC,M
44068,530.5(C)(3),POSS ID OF 10+ PRSN:WID,F
44069,530.5(C)(3),POSS ID OF 10+ PRSN:WID,M
44060,530.5(D),ACQUIRE PERS ID WIT DEFRD,M
44062,530.5(D)(1),CONVEY PERS ID WIT DEFRD,F
44063,530.5(D)(1),CONVEY PERS ID WIT DEFRD,M
44064,530.5(D)(2),KNOWINGLY USE PERSON ID,F
44065,530.5(D)(2),KNOWINGLY USE PERSON ID,M
26595,530.5(E),WIT/DEFRD PERS ID:DEPLOYD,M
44066,530.5(E),COMMIT MAIL THEFT,M
26021,531,FRAUDULNT CONVEY:LAND/ETC,M
26022,531A,CONVEY PROP/ETC W/FRAUD,M
26247,532(A),FALSE PRETENSES:OBT $/ETC,F
26248,532(A),FALSE PRETENSES:OBT $/ETC,M
26114,532A(1),FALSE FISCAL ACCOUNT,M
26133,532A(1),USE FLS NAM/ETC:FSCL ACCT,F
26134,532A(2),GAIN FROM FLS FISCAL ACCT,M
26135,532A(2),GAIN F/FLS NAM/FISCL ACCT,F
26205,532A(3),FALSE FINANCIAL STATEMENT,F
26206,532A(3),FALSE FINANCIAL STATEMENT,M
26218,532A(4),FALSE FINANCIAL STATEMENT,M
26219,532A(4),FALSE FINANCIAL STATEMENT,F
44015,532B,IMPERS VETERAN TO SOLICIT,M
44100,532B(B),FRDLNT CLM NONVET OBT MNY,M
44101,532B(C)(1),FRDLNT MIL DECOR OBT MNY,M
44102,532B(C)(2),FRDLNT CLM VET OBT MONY,I
44103,532B(C)(2),FRDLNT CLM VET OBT MONY,M
44104,532B(D),FORGE MIL DOCS OBT MONEY,M
44105,532B(E),WEAR MIL UNIF OBT MONEY,M
44106,532B(F),USE FLS MIL ID OBTN MNY,M
44107,532B(G),FLS MIL UNIF IMPRS CHAR,M
44108,532B(H),MISREP AS VET FR EMPLYMNT,M
31009,532C,LOTTERY OF REAL PROPERTY,M
26548,532D(A),FRAUD:SOLICIT CHARITY/ETC,M
26026,532E,CONSTRUCTION BRKR KICKBCK,M
26610,532F(A)(1),MORTGAGE FRAUD:DLIB MSREP,F
26611,532F(A)(1),MORTGAGE FRAUD:DLIB MSREP,M
26669,532F(A)(2),MORTG FRD DELIB USE MSREP,M
26670,532F(A)(2),MORTG FRD DELIB USE MSREP,F
26671,532F(A)(3),MORTG FRD RCV CLOSING FND,M
