CDS.Code,Offense.Description,Offense.Level
35233,POSS SIMILAR TOLUENE SUB,M
55022,FALSE DAIRY PRODUCT TEST,M
35235,POSSESS NITROUS OXIDE,M
35408,SELL NITROUS OXIDE TO MNR,M
35457,DISP/DIST NITROUS GBI/DTH,M
35458,FLR TO KEEP NITROUS RCRDS,M
55023,ADULTERATE FOOD/DRUGS/ETC,M
55157,UNLIC ADM SUCSTRN:DOG/CAT,M
55158,PRESC/ETC SILCONE:INJECTN,M
55026,SELL ADULTERATED FOOD/ETC,M
55027,PROCESS BUTTER W/O LABEL,M
55028,FRAUD SALE OF KOSHER MEAT,M
55302,FRDLNT SALE OF HALAL MEAT,M
55029,TELEPHONE VIOLATION,M
55159,PUB/ETC PHON DIR W/O WARN,M
29122,REM FOREST PROD W/O PERMT,M
29004,CUT SHRUBS W/O PERMIT,M
29162,SELL/TRANSPORT CUT PLANT,M
31067,FALSE TRANSPORT STATEMENT,M
31068,MOVE SHRUB W/O PERMIT,M
31103,FAIL TO SHOW SHRUB TAG,M
29006,KILL/HURT ANTHR ANML:HUNT,M
55032,TOOLS NEAR HIGH VOLT LINE,M
55161,USE/ETC EQUP:NO SIGN:VOLT,M
31311,UNSAFE BUS PRAC GBH/DTH,M
26015,MARKET PRICE FRAUD,M
31177,PRICE GOUG:GOODS/ETC:EMER,M
31178,PRICE GOUG:RPAIR/ETC:EMER,M
31312,PRICE GOUGE MTL RNT EMERG,M
31307,INCRS RENT 10+PERC EMRGNC,M
31308,EVICT TENANT DUR EMERGNCY,M
26113,UNLAWFUL USE FOOD STAMPS,M
41013,LIQUOR TO DRUNKARD,M
32060,TRESPASS: OFF LIMIT AREA,M
9188,OWNER/ETC:ANML CAUSE DTH,M
9175,DOG FIGHT-TRAIND CAUS INJ,M
55162,STOP/ETC:EMERGENCY SCENE,M
55287,STOP/ETC:EMERGENCY SCENE,M
55288,INTRF EMERG W/DRONE/ETC,M
55163,INTRF/ETC W/LIFGARD:EMERG,M
55036,ADULTERATION OF CANDY,M
55037,DISCARD APPLIANCE W/LOCK,M
55038,SELL NEW REFRIG W/O LOCK,M
53015,DISTURB/ETC ASSEMBLY/ETC,M
53101,RIOTING,M
53115,CAUSE RIOT:DESTROY PROP,M
53136,RIOT IN JAIL/PRISON/ETC,M
53018,RIOTS,M
53021,ROUTING,M
53022,UNLAWFUL ASSEMBLY,M
53023,ROUT/UNLAWFUL ASSEMBLY,M
53024,REMAIN AT SCENE:RIOT/ETC,M
31301,SEIZE PER PROP TERM LEASE,M
53025,ENTER DISASTER AREA,M
53150,UNAUTH ENTRY EVAC AVALNCH,M
53026,NEGLECT/REFUSE TO DISPERS,M
53027,ILLEGAL PRIZE FIGHTING,M
53028,PRESENT AT ILLEGAL FIGHT,M
53030,LEAVE STATE TO PRIZEFIGHT,M
53072,FIGHT IN PUBLIC PLACE,M
53131,FIGHT/ETC IN PUBLIC PLACE,I
53073,UNREASONABLE NOISE,M
53130,LOUD/UNREASONABLE NOISE,I
53074,OFFENSIVE WORDS:PUBLIC PL,M
53151,OFFENSIVE WORDS IN PUB PL,I
33028,FIGHT/ETC AT SCH/UNIV/ETC,M
33029,LOUD/UNREAS NOISE UNV/ETC,M
33030,OFFENSIVE WORDS UNIV/ETC,M
53108,REFUSE TO DISPERSE,M
52136,EXHIBIT DEADWPN:NOT F/ARM,M
52137,EXHIBIT FIREARM,M
52687,EXHBT F/ARM THRTNG MANNER,M
52326,EXH LOADED F/ARM:DAY CARE,M
52303,EXHIB/ETC F/ARM:PO PRESNT,M
52267,THREAT W/LASER SCOPE:FEAR,M
48130,AIM/ETC LASER POINTERS:PO,M
48158,AIM LASER PNTR PO W/PR,M
31212,SELL LASER POINTER TO JUV,I
33054,STDNT POSS LASR PNTR,I
53134,AIM LSR PNTR:INT TO HAR,I
53135,AIM LSR PNTR:GUIDE DOG/ET,I
52240,BRANDISHING F/ARM REPLICA,M
32006,FORCIBLE ENTRY,M
32007,RETAKE LAND AFT LEGAL REM,M
53033,PREVENT PUBLIC LAND ENTRY,M
51352,PRVNT ENTRY OF PRVT LAND,I
16018,THREAT CRIME:INT:TERORIZE,M
16048,THRTN CRIME:INT:TERRORIZE,M
16050,PUBLSH INFO ACADEMC VIOL,M
56022,VIO CIVIL RGHTS:FRCE/THRT,M
56021,DAMAGE PROP:VIO CIVL RGHT,M
56031,VIOLENCE/ETC:REP HLTH SVS,M
56032,FORCE ON PRSN:PLCE WRSHIP,M
56033,NONVIOL OBST:REP HLTH SVS,M
56034,NONVIOL OBST:PLCE WORSHIP,M
56035,DAMAGE PROP:REP HLTH SVS,M
56036,DAMAGE PROP:PLACE WORSHIP,M
48019,HINDER REVENUE COLLECTION,M
48159,TELE PRVDR FL COLLECT FEE,M
48046,FAIL DEL/ETC TAX RECT/ETC,M
31325,REQ APP TO WV RIGHT FEHA,M
31005,UNLAWFUL AUCTIONEER,M
61004,PROCURING INSURANCE,M
48096,REFUSE RECORDS INSPECTION,M
20051,ARSON:WHILE CONFINED,M
20063,UNLAW CAUSE FIRE W/GBI,M
20048,CAUSE FIRE OF INHAB STRUC,M
20043,CAUSE FIRE:STRUCTR/FOREST,M
20033,CAUSING FIRE OF PROPERTY,M
20044,ARSON:POS/ETC MAT/DEVICE,M
20060,POSSESS/MFG/DISP FIREBOMB,M
89096,REG OF ARSON OFFENDER,X
20047,FAIL REG:ARSON OFFENDER,M
22133,BURGLARY:SECOND DEGREE,M
23211,SHOPLIFTING,M
22131,BURGLARY:SECOND DEGREE,M
22134,LOOTING DURING ST EMERG,M
22135,LOOT/GRAND THEFT ST EMERG,M
23125,PETTY THEFT:STATE EMERG,M
22012,POSSESS BURGLARY TOOLS,M
22027,SELL LOCK PICK/ETC,M
22025,POSSESS TAMPER DEVICE,M
22014,POSS/USE VEH MASTER KEY,M
22015,POSSESS VEH MASTER KEY,M
22016,MFG/SELL VEH MASTER KEY,M
22128,MAKE VEH/ETC KEY W/O ORDR,M
22136,POSS MOTORCYCL IGNITN DVC,M
22137,POSS HRDWR MOTORCYCL THFT,M
22127,ILLEGAL POSS OF VEH KEY,M
22129,MAKE RES/ETC KEY W/O ORDR,M
23152,POSS CODE GRAB DEV:CRIME,M
23153,USE CODE DEV:VEH ALR:CRIM,M
52006,BUY/SELL SNIPERSCOPE,M
22024,ILLEGAL POSS BUILDING KEY,M
25083,FORGERY,M
25076,FORGERY:INTENT:DEFRAUD,M
25115,FORGE/ETC HANDWRITING/ETC,M
25122,ALTER/ETC WILL/ETC,M
25087,FALSE CHECKS/REC/CERT/ETC,M
25097,ALT/FORGE/ETC DRIV LIC/ID,M
25123,POSS DL/ID COMMIT FORGERY,M
25124,MAKE FLS ENTRIES IN RCRDS,M
26119,ALTER MEDICAL RECORDS,M
25096,FORGE/ETC OFFICIAL SEAL,M
25116,FORGERY:CHECK ETC -$950,M
25125,SEND FORGED TELE MSG DFRD,M
25091,POS/ETC BAD/ETC CHECK/ETC,M
25085,POS BLANK CHECK/ETC:FRAUD,M
25089,PASS COMPLETED CHECK/ETC,M
25082,MAKE/ETC FICT CHECK/ETC,M
26507,INSUFICNT FUND:CHECK/ETC,M
26017,NONSUFFICIENT FUNDS:CHECK,M
25127,FORGE RR/STEAMSHIP TICKET,M
25126,CNTRFEIT FARE/MEDIA TRNSP,M
25060,POSS/CNTRFT PUB TRAN FARE,M
25019,RESTORE RR/ETC TICKET,M
26018,UNAUTHORIZED TICKET SALE,M
26601,MFG/ETC FALSE IDENT DOC,M
26602,POSSESS DOC-MAKING DEVICE,M
23008,THEFT,M
23079,THEFT OF PERSONAL PROP,M
23087,PETTY THEFT,M
23099,THEFT,M
23160,PETTY THEFT:$50-,I
23085,THFT PRSNL PROP/PTY THFT,M
23161,PETTY THEFT/THEFT W/PRIOR,M
23010,THEFT:RENTAL PROP,M
23218,THEFT:RENTAL PROPERTY,M
23138,FALS INF/ETC:PAWNBRKR/ETC,M
26019,DIVERSION OF FUNDS,M
27066,OBT MONEY BY FLS VOUCHER,M
30058,ACQ ACC CARD:INT:SELL/ETC,M
30076,ACQ ACCES CRD INT SELL 4+,M
30066,SEL/ETC ACCESS CARD:FRAUD,M
30070,USE ACC ACOUNT DATA:NO OK,M
30075,FORGE ACCESS CARD:DEFRAUD,M
30074,FORGE NAME:ACC CARD/ETC,M
30044,THFT:USE ACCESS CARD DATA,M
30046,THEFT:FORGED ACCESS CARD,M
30048,THEFT:MISREP AS CARD HLDR,M
30052,MRCH ACPT BAD A/CRD -$400,M
23193,FAIL FURNISH GOODS/SRV,M
30055,UNLAWFUL ACCESS CARD POSS,M
30077,ALTER/ETC CARD ACCNT INFO,M
30073,MAKE/ETC EQUIP:FAKE CARD,M
26195,PUBLIC ACCESS CARD NBR,M
23106,APPROPR LOST PROP,M
23157,GRDTHFT:MONEY/LABOR/PROP,M
23228,GRAND THFT FOWL/FRUIT/ETC,M
23184,GRTHFT:FISH/ETC,M
23158,GRAND THFT BY SERVANT/ETC,M
23165,GRAND THEFT FROM PERSON,M
23186,GRAND THEFT:AUTO,M
23188,GRANDTHEFT:HORSE/GOAT/ETC,M
23207,GRAND THFT:ANIMAL CARCASS,M
23208,GRAND THEFT:CARCASS PORTN,M
23209,G/THFT:CARCAS W/O CONSENT,M
23019,PETY THFT:CNVRT REAL PROP,M
23229,GRAND THEFT DOG $950+,M
23022,PETTY THEFT:DOG,M
23230,STEAL/ETC ANML F/SALE/ETC,M
23231,GRAND THEFT CARGO $950+,M
23181,GRAND THEFT:PHAP $400+,M
23203,GRAND THEFT:COPPER,M
23024,PETTY THEFT,M
23026,PETTY THEFT,M
23126,PETTY THEFT -$50,M
23166,PETTY THEFT-$50 W/O PRIOR,I
23217,PETTY THEFT:-$950,M
23220,ORG RETAIL THEFT INT/SELL,M
23222,ORG RETAIL THEFT:RCV/POSS,M
23225,ORG RETAIL THEFT:AGENT,M
23226,ORG RTL THEFT ORGANIZES,M
23105,PETTY THEFT RETAIL/ETC,M
23232,THEFT 25+ FREE NEWSPAPERS,I
23176,THFT:25+ FREE NWSPR:RECYC,M
23177,THFT:25+ FREE NWSPRS:SELL,M
23178,THFT:25+ FREE NWSPRS:DPRV,M
23179,THFT:25+ FREE NWSPRS:HRM,M
28024,REC KNWN STOLN PROP,M
28023,DLR/ETC:UNDTRM OWN:STL PR,M
28038,ATTEMPT 496PC:STOLEN PROP,M
31315,DLR BUY METAL/ETC W/O DIL,M
31007,BUSINESS PRACTICE VIOL,M
23148,COPY/ETC RELTY TITLE INFO,M
28036,POSS STOLEN VEH/VES/ETC,M
28042,BUY/REC STOLEN FIREHYDRNT,M
23116,THEFT OF UTILITY SERVICES,M
23111,THEFT OF UTILITY SERVICES,M
23122,THEFT OF UTILITY SERVICES,M
23113,THEFT OF UTILITY SERVICES,M
23114,THEFT OF UTILITY SERVICES,M
23215,ALTER METER UTILITY SVS,M
24068,TAKE BIKE W/OUT PERMISION,M
23191,TAKE VESSEL W/O PERMISION,M
23238,THEFT TRADE SECRETS:STEAL,M
23239,THFT TRADE SECRETS FRAUD,M
23240,THEFT TRADE SECRET:ACCESS,M
23241,THEFT TRADE SECRET: COPY,M
23242,THEFT TRADE SECRETS:BRIBE,M
24069,TAKE AIRCRAFT W/O CONSENT,M
23168,FAIL TRNSF $ FOREIGN CNTY,M
23170,FAIL SEND $:10 DAYS RCPT,M
23172,FAIL GIVE INST W/IN 10DAY,M
23174,FAIL TO REFUND CUSTOMER,M
26626,ACC COMP/ALT DATA:DEFRAUD,M
26627,ALT/ETC COMPUTER SYS/ETC,M
26648,DSRPT/DENY GOV CMPTR SRVS,M
26650,ALTER CMPTR SRVS PUB SFTY,M
26652,DSRPT PUB SFTY CMPTR SRVS,M
26654,PRVD ACC PUB SFTY CMPTR,M
26655,PRVD ACC PUB SFTY CMPTR,I
26657,CONTAM PUB SFTY CMPTR,M
26658,UNAUTH COPY/USE CMPTR DAT,M
26350,UNAUTH USE/ETC COMP SVS,M
26660,UNAUTH ALTER CMPTR DATA,M
26661,DISRUPT/DENY CMPTR SRVS,M
26556,UNAUTH ASST:ACC COMPUTER,I
26662,PRVD/ASSIST ACCESS CMPTR,M
26254,CMPTR ACC:VCTM LOS -$5000,M
26557,UNAUTH ACCES COMPUTER SYS,I
26664,INTRO CONTAM TO COMPUTER,M
26665,USE INTRNT DMN DMG CMPTR,M
26666,USE INTRNT DMN DMG CMPTR,I
23096,REMOVAL OF STRUCTURE/FIXT,M
26573,FRAUD:POSS/USE SCAN DVICE,M
26574,FRAUD:POSS/USE KEENCODER,M
26204,FRAUD:TELEPHONE SERVICE,M
26124,FRAUD:TELEPHONE SERVICE,M
26505,OBT TEL/TELE:BAD CARD/ETC,M
26276,OBT TEL SVS:CDE/ETC -$400,M
26213,FRAUD:TELEPHONE SERVICE,M
26246,OBT TELE/TELE SERV:FRAUD,M
26150,FRAUD USE OF TELEPHONE,M
26667,SELL/ETC INSTRMT AVD TOLL,M
26201,FRAUD USE:TELEPHONE/ETC,M
26386,TELCOM FRAUD:ISSUER GAIN,M
26534,ADV ILLEGAL TELECOM EQUIP,M
26535,NO PAY/ETC:IL TELCM EQUIP,M
26537,SELL/ETC ILL TELCOM EQUIP,M
27023,EMBEZZLEMENT,M
27024,PUB/PRIV OFCR EMBZEL PROP,M
27025,EMBEZZLE PROP UNDER LEASE,M
27026,DEBTR EMBEZL PROP PROCEED,M
27027,CARRIER EMBEZZLE PROPERTY,M
27028,EMBEZZLE PRIVATE PROPERTY,M
27029,EMBEZZLMENT BY BAILEE/ETC,M
27030,EMBEZZLEMENT BY EMPLOYEE,M
27031,EMBEZZLEMENT,M
21024,EXTRTN FRC/FEAR/OFCL RT,M
21012,EXTORT UNDR COLOR OF OFCL,M
21025,ATTEMPTED EXTORTION,M
29153,ABANDONMENT OF VESSEL,I
29154,ABANDON VESSEL:LIABILITY,I
21016,EXTORT W/FALSE COURT DOC,M
25020,SELL FALSE COURT DOCUMENT,M
44074,IMPERSN W/O CNSNT:WEBSITE,M
44048,FALSE PERSONATION:SP CIRC,M
44076,FALSE PERSONATE:SPEC CIRC,M
44078,PERSONATE TO POST BAIL,M
44080,PERSNATE:RECORDED DOCUMNT,M
44082,PERSNATE:MAKE OTHR LIABLE,M
44056,PERSONATE:RECORD DOCUMENT,M
44055,PERSNATE:MAKE OTHR LIABLE,M
26285,MFG/ETC DECEPTIVE GOVT ID,M
26264,POSS DECEPTIVE GOVT ID,M
44116,FLS REP CENSUS TKR INTRFR,M
44117,CENSUS ACTIVTY INT INTRFR,M
26575,OBT/ASSIST OBT DMV DOC,M
26123,POSS FALSE BIRTH DOCUMENT,M
44043,PERSONATE GET MONEY/PROP,M
44053,OBT CREDIT/ETC:OTHER'S ID,M
44067,POSS PRSNL ID WIT DEFRAUD,M
44071,USE ID W/INT DEFRD:W/PC,M
44069,POSS ID OF 10+ PRSN:WID,M
44060,ACQUIRE PERS ID WIT DEFRD,M
44063,CONVEY PERS ID WIT DEFRD,M
44065,KNOWINGLY USE PERSON ID,M
26595,WIT/DEFRD PERS ID:DEPLOYD,M
44066,COMMIT MAIL THEFT,M
26021,FRAUDULNT CONVEY:LAND/ETC,M
26022,CONVEY PROP/ETC W/FRAUD,M
26248,FALSE PRETENSES:OBT $/ETC,M
26114,FALSE FISCAL ACCOUNT,M
26134,GAIN FROM FLS FISCAL ACCT,M
26206,FALSE FINANCIAL STATEMENT,M
26218,FALSE FINANCIAL STATEMENT,M
44015,IMPERS VETERAN TO SOLICIT,M
44100,FRDLNT CLM NONVET OBT MNY,M
44101,FRDLNT MIL DECOR OBT MNY,M
44102,FRDLNT CLM VET OBT MONY,I
44103,FRDLNT CLM VET OBT MONY,M
44104,FORGE MIL DOCS OBT MONEY,M
44105,WEAR MIL UNIF OBT MONEY,M
44106,USE FLS MIL ID OBTN MNY,M
44107,FLS MIL UNIF IMPRS CHAR,M
44108,MISREP AS VET FR EMPLYMNT,M
31009,LOTTERY OF REAL PROPERTY,M
26548,FRAUD:SOLICIT CHARITY/ETC,M
26026,CONSTRUCTION BRKR KICKBCK,M
26611,MORTGAGE FRAUD:DLIB MSREP,M
26669,MORTG FRD DELIB USE MSREP,M
26671,MORTG FRD RCV CLOSING FND,M
26673,MORTG FRD FILE W/RECORDER,M
31316,MOCK AUCTION,M
31011,FALSE STATEMENT BY BROKER,M
31012,PROPERTY BRKR SALE STATMT,M
26126,DEFRAUD INNKEEPER -$400,M
26628,DEFRAUD INNKEEPER -$950,M
26592,DEFRAUDING:SKI RESORT,I
26277,DEFRAUD INNKEEP FORCE/ETC,M
26631,DEFRAUD INNKEEP FORCE ETC,M
26030,DEFRAUD LIVERY STABLE OWN,M
26031,LIVERY STABLE VIOLATION,M
31288,BUY/ETC PROP:NO ID -$950,M
31134,BUY/ETC PROP:NO ID,M
31289,BUY/ETC PROP:NO ID $950+,M
31014,SELL REBLT BATT W/O LABEL,M
31324,REMOVE/ETC NCIC ID NUMBER,M
23110,REMOVE MORTGAGED PROPERTY,M
26675,FRDLNT USE TV TRANS INFO,M
44021,USE OTHRS NM ON LTR NWSPR,M
44016,USE SECRET SOCTY GET AID,M
26558,DIST UNAUTH ADV:IN CNCRT,M
44051,WEAR/ETC ID/ETC:IMPERS PO,M
44073,WEAR/ETC PO BADGE FRAUDLY,M
41109,WEAR FALSE BADGE IMPRS PO,M
44110,MAKE DECPTV BADG IMPRS PO,M
44111,UNLAWFUL SALE PO UNIFORM,M
44018,IMPERSONATE FIREMAN,M
44112,WEAR BADGE IMPRS FIRFGHTR,M
44113,WEAR/USE FD OFCR BADGE,M
44114,SELL FD UNIFORM NONAUTH,M
44059,IMP PUBLIC UTILITY EMP,M
44061,IMPERSN CTY/CNTY ETC EMP,M
44115,WEAR/ETC CITY/CO ID IMPRS,M
44083,IMPERS S/RESC TO OBT AID,M
44084,IMPERS S/RESC TO DEFRAUD,M
44085,IMPERS S/RESC INDUCE BEL,M
26561,FALSE CERT:COMMUNITY SVS,M
26676,SLCIT BUS W/FLS INS CLAIM,M
26390,SAME HELTH BEN:MULT CLAIM,M
26679,FLS/ETC INS INFO FOR PAY,M
26680,PREPARE FLS STMT INS CLM,M
26615,HIDE FACTS:INS ENTITLEMNT,M
26681,FALSE RESID STMT VEH INS,M
26683,DLR OFFER FEE FOR REFERAL,M
26685,DLR ILL WV DEDCT AUTO RPR,M
32009,TRESPASS:PETRLEUM INDSTRY,M
32010,TRESPASS:GAS FACILITY,M
32011,TRESPASS:ELECTRICAL FACIL,M
32012,TRESPASS:BRDCST FACIL/ETC,M
32013,TRESPASS:WATER FACILITY,M
32014,TRESPAS:EXPLOSIVE FACILTY,M
32015,TRESPASS:RAILROAD FACILTY,M
32078,TRESPASS:SEWERAGE FACILTY,M
32079,TRESPASS:QUARRIES,M
32016,ENTER/REMAIN ON PSTD PROP,M
29007,DESTROY POSTED SIGN,M
32017,LOITER POSTED PROPERTY,M
32018,POST SIGN ON PUBLIC PROP,M
32019,POST SIGN ON PRIVATE PROP,M
33007,TRESPASS:CERTAIN UC LAND,M
26034,BAILEE ISSUE FRAUD RECEPT,M
26035,BAILEE DEL GOODS UNLAWFLY,M
26036,DEP GOODS W/O TITL W/BAIL,M
26038,WAREHSMN ISS FRAUD TITLE,M
26344,ISS/ETC BAD RCPT/ETC:STRG,M
26345,ISS/ETC RECT/ETC NO GOODS,M
26346,FRAUD RCT/ETC GOODS O-O-S,M
26129,USE/ETC DAIRY REG -$400,M
26686,UNLAWFUL SUBLEASE OF VEH,M
29163,INJURE RAILROAD/RR BRIDGE,M
29165,PLACE OBSTR ON RAILS/ETC,M
29112,MOVE LOCOMOTIVE W/O AUTH,M
29166,MOVE LOCOMOTV POS INJ/DTH,M
29011,TAMPER W/RR APPARATUS,M
32020,TRESPASS ON RR TRAIN,M
26040,EVADE RAILROAD FARE,M
29012,INJURE HIGHWAY/BRIDGE,M
29013,THROW INJURIOUS SUBSTANCE,M
29014,INJURE WARNING DEVICES,M
29109,REMOVE/ETC GUIDE POST/ETC,M
29135,DAMAGE/USE/ETC POWER LINE,M
29150,DAMAGE WIRELES COM DEVICE,M
29101,TAKE WATER FROM CANAL/ETC,M
29167,TAKE WATER FRM CANAL-$950,M
32021,CLIMB ON ELECT POWER POLE,M
29079,UNAUTH REC/ETC CBL TV/ETC,M
29147,KNOWN UNAUTH CBL/ETC CONN,M
29169,PURCH UNAUTH CBL DVC/COMP,M
29148,KNOWN MOD/ETC AUTH DEVICE,M
29170,MAKE MOD CBL ACCESS DVC,M
29134,ALT/ETC TRANS/ETC CBL/ETC,M
29091,INTERCPT/DECODE CABLE TV,M
29099,MFG/ETC CABL TV DECOD/ETC,M
29124,MFG/ETC UNATH AIR DEV/ETC,M
29171,POSS IRON/ETC VIOL 593A,M
29138,VANDALISM,M
29110,VANDALISM:DEFACE PROPERTY,M
29071,VANDALISM:DAMAGE PROPERTY,M
29077,VANDL:DESTROY OTHRS PROP,M
29087,VANDALISM,M
29142,VANDALISM $400 OR MORE,M
29149,VANDALISM $10000 OR MORE,M
29144,VANDALISM -$400,M
29156,VANDALISM -$400/PREV CONV,M
29102,SELL SPRAY PAINT TO MINOR,M
29082,MINOR BUY SPRAY PAINT,M
31139,PAINT RET FAIL POST SIGN,M
29100,POSS SPRAY PAINT:POSTED,M
29103,MNR POSS SPRAY PAINT HWY,M
29105,POSS DRILL/ETC:INT:VANDLZ,M
29145,VANDALIZE PLAC OF WORSHIP,M
29152,DESTROY CEMETERY PROPERTY,M
29172,OBLIT GRAVE/VAULT/CRYPT,M
29174,DESTROY/INJ MORTUARY BLDG,M
29176,OBSTR CARRYING HUMAN RMNS,M
53143,PICKETNG TARGETED:FUNERAL,M
29146,DFACE/ETC STRTUR:CHEM/ETC,M
34041,POISONING ANIMALS,M
34076,ABUSE:PHYSICAL:ELEPHANTS,M
34089,CRUELTY TO ANIMALS,M
34036,CRUELTY TO ANIMAL,M
34049,CRUELTY TO ANIMAL,M
34062,OWNER/ETC NON-CARE ANIMAL,M
34094,FL PRODUC ANML AT HEARING,I
34095,LIVE ANIMAL MARKET VIOL,I
34091,SELL/ETC ANIMAL PUB W/INJ,M
34096,SELL/ETC ANIMAL IN PUBLIC,I
34092,DISPLY/OFFR ANML FOR SALE,I
34093,DSPLY/OFR ANML SALE W/INJ,M
34048,PRESENT AT DOG FIGHT,M
34100,ALTERATION CAT CLAWS/ETC,M
34079,ENDANGER ANIMAL:UNATN CAR,I
34080,GBI TO ANIMAL:UNATN CAR,M
34101,POSS/ETC AFTR PR MISD 597,I
34102,POSS/ETC AFTR PR FEL 597,I
34005,INHUMANE TRANSPRT OF ANML,M
34008,ALOW/ETC ANIMAL/BRD FIGHT,M
34103,CAUSE COCK/ETC FIGHT MISD,M
34078,SPECTATOR AT ANIMAL FIGHT,M
34077,POSS COCK W/INTENT:FIGHT,M
34013,IMPOUNDED ANIMAL VIOL,M
34058,FAIL TO CARE FOR ANIMAL,M
34066,POLING A HORSE,M
34105,TRIP W/INT EQUINE SPORT,M
34016,USE LIVE DECOY AT DOG RAC,M
34017,POSSESS BIRD FIGHT EQUIP,M
34018,POSS FIGHTING GAME COCK,M
34019,USE BRISTLE BUR ON ANIMAL,M
34083,FAL MANT SANITARY PETSHOP,M
34084,FAIL PRVD HEAT/VENT:PET,M
34085,FAIL PROVIDE HUMANE CARE,M
34086,SELL/TRADE DISEASE PET,M
34087,INADEQUATE SPACE:PET ANML,M
34106,FL PRVD ANML CARE RECOMM,I
34020,PROMOTE BULLFIGHT,M
34021,DOCK TAIL OF HORSE,M
34088,DOCK TAIL:HORSE/CATTLE,M
34107,VEH REQ EQUINE TRANSPORT,M
34022,REGISTER DOCKED HORSE,M
34023,DRIVE UNREG DOCKED HORSE,M
34024,VIOLATE ANTI-DOCKING LAW,M
34075,ABANDON ANIMAL,M
34040,CONFIND ANIMAL INADQ CARE,M
34108,EUTHAN OF ANML GAS/INJEC,M
34109,EUTHAN DOG/CAT DIOX CHAMB,M
34055,KILL NEWBORN ANIMALS,M
34110,SELL/TRNSP DSBLD ANML OOS,M
34081,SELL DOG UNDER 8 WEEK AGE,I
34082,SELL DOG UNDER 8 WEEK AGE,M
34026,KILL/ETC BIRD IN CEMETERY,M
34069,KILL DOG/CAT:SEL/ETC PELT,M
34065,POSS/ETC DOG/CAT PELT:SEL,M
34111,POSS DOG/CAT CARCASS FOOD,M
34112,POSS/ETC PET CARCASS FOOD,M
34073,SALE HORSEMEAT FOR MEALS,M
34029,LIVE ANIMAL VIOLATION,M
34030,LIVE ANIMAL VIOLATION,M
34031,LIVE ANIMAL VIOLATION,M
34032,LIVE ANIMAL VIOLATION,M
34034,REFUSE TO KILL UNFIT ANML,M
34070,BUY/ETC NONAMBULATRY ANML,M
34114,PROCESS/ETC NONAMBUL ANML,M
34115,HOLD NONAMBUL W/O EUTHAN,M
34116,HOLD NONAMBUL W/O TRTMNT,M
34117,DRAG EQUIP NONAMBUL ANML,M
34118,SELL/SHIP NONAMBUL ANIMAL,M
34119,ACCEPT NONAMBUL FOR TRNSP,M
34045,WILLFUL HARM PO HORSE/DOG,M
34047,INTERFERE W/PO ANIMAL,M
34120,PERM DOG TO INJ GUIDE DOG,I
34121,PERM DOG TO INJ GUIDE DOG,M
34071,CAUS INJ/DTH:GUID/ETC DOG,M
34122,INT INJ/DTH SRVC DOG DUTY,M
32087,TRESPS:RES/ETC:SBI THREAT,M
32118,TRESPASS RESDNC THRTN SBI,M
32119,TRESP WORKPLACE THRTN SBI,M
8008,FAIL OBEY ORDER JUV COURT,X
32022,TRESPASSING,M
32023,TRESP:DESTROY STAND TIMBR,M
32024,TRESPASS:REMOVE TIMBER,M
32025,TRESP:INJURE/ETC FREEHOLD,M
32026,TRESPASS:SOIL REMOVAL,M
32027,TRSPAS:REMOV SOIL PUB PRP,M
32028,TRESPASS:DAMAGE SIGN,M
32029,TRESPASS:OYSTER LANDS,M
32092,TRESPASS:POSTED LAND/BLDG,M
32093,TRESPASS:DESTROY FENCE,M
32094,TRESPASS:BUILD FIRES,M
32095,TRESPASS:INJURE PROPERTY,M
32096,TRSPSS:PSTD LND:RFS TO LV,M
32097,TRSPSS:PSTD LND:DSTRY SGN,M
32098,TRSPSS:PSTD LND:TMPR LOCK,M
32099,TRSPS:PSTD LND:DSCH F/ARM,M
32100,TRESPASS:OCC PROP W/O CON,M
32101,TRESPAS:DRIV ON PRIV PROP,M
32102,TRESPAS:REFUSE LEAVE PROP,M
32103,RFUSE GO:PO REQ PRIV PROP,M
32104,RFUSE GO:OWN REQ:PRIV PRO,M
32105,TRESPASS:CLOSED LANDS,M
32106,TRESPASS:REF LV PUB BLG,M
32107,TRESPASS:SKI CLOSED AREA,M
32108,TRESPASS:REF TO LV HOTEL,M
32109,TRESP:FELN REF LV PR PROP,M
32113,TRESP:FELN REF LV PR PROP,M
32110,TRESPASS:AIRPRT OPER AREA,M
32112,TRESPASS:STERILE AREA,M
32120,TRESP REF INSPECT AIRPORT,I
32121,TRESP BATTRD WMN SHELTER,M
32122,TRESPASS INFANT UNIT HOSP,I
32123,TRESPASS INFANT UNIT HOSP,M
32071,TRESPASS PUBLIC BUSINESS,M
32080,OBST/ETC BUSNES:PUB AGNCY,M
32124,INTERFER W/BUS PUB AGENCY,I
33009,OBSTRUCT STUDENT/TEACHER,M
33056,OBST PASSAGE:SCHOOL/ETC,M
32125,TRESP PROP ACADEM RESRCHR,M
32126,ENTER ANML ENCLOSURE ZOO,I
32127,ENTER ANML ENCLOSURE ZOO,M
32128,FLR LODGER VACAT AFTR NTC,I
32063,UNAUTH ENTRY SELL AT AIRP,M
32039,ENTER NONCOMM DWELLING,M
32089,ENTER NONCOMM DWELLING,M
32090,ENT NONCOM DWELL:INCIDENT,M
