CDS Code,Offense Description,Offense Level
38007,DES W/INT TO ABANDON -14,F
38086,DSRT W/INT TO ABANDON -14,M
38008,ABANDON CHILD UNDER 14,F
38071,ABANDON CHILD UNDER 14YRS,M
43004,CONTRIB TO DELINQ OF MINR,M
43042,CONTRIB DELINQUENCY MINOR,M
43043,CDM:ADULT STRNGR LURE MNR,M
43048,CDM ADLT STRNGR LR MNR-14,I
38021,ILLEGAL PAY FOR ADOPTION,M
38056,REC BENE:INCOMPLET ADOPTN,M
38054,MULTIPLE PAY:ADOPTION,M
38025,INFLICT CRPL INJ SP/COHAB,F
38028,INF CORP INJ:SPOUSE/COHAB,F
38064,CORP INJ ON SPOUSE/COHAB,M
38080,CRPL INJ:SPOUS/COHAB/DATE,F
38081,CRPL INJ:SPOUS/COHAB/DATE,M
38082,INF INJ:SPS/ETC W/PR ASLT,F
38083,INF INJ:SPS/ETC W/PR ASLT,M
38084,INF INJ:SPS W/PR SPS BAT,M
38085,INF INJ:SPS W/PR SPS BAT,F
50084,VIO ORD:PREVNT DOMES VIOL,M
50114,VIO DOM VIO CRT ORD:P/INJ,M
50096,DOMESTIC VIOLENCE W/PR,F
50146,DOMESTIC VIOLENCE W/PRIOR,M
50172,DSOBEY DOM REL CRT ORD/PR,F
50173,DSOBEY DOM REL CRT ORD/PR,M
38072,VIOL PROTECTIVE ORDER:MNR,M
38087,VIOL PROT ORD MNR W/INJ,M
50115,DISCLS LOC DOM VIOL SHLTR,M
38010,WILLFUL CRUELTY TO CHILD,M
38061,CHILD CRUELTY:POS INJ/DTH,F
38067,CRUEL TO CHLD:POS INJ/DTH,M
38059,WILLFUL CRUELTY TO CHILD,M
38060,ASAULT CHILD -8:GBI:DEATH,F
38077,ASSULT CHILD -8:GBI:DEATH,F
38078,ASLT CHILD-8:GBI:PERM INJ,F
38024,INFLICT INJURY ON CHILD,F
38058,INFLICT INJ/ETC ON CHILD,F
38070,INFLICT INJ/ETC ON CHILD,M
43005,MINOR IN IMPROPER PLACE,M
43006,MINOR IN IMMORAL PLACE,M
43007,IMMORAL ACTS BEFORE CHILD,M
43045,PUBLISH INFO DEPICT CHILD,M
38051,DEPRIVE RIGHT OF CUSTODY,F
10008,CHILD STEALING,F
10030,CHILD STEALING,M
38030,VIOLATION CUSTODY DECREE,M
38043,VIOLATION CUSTODY DECREE,F
38066,DEPRIVE RIGHTS:CUST/VISIT,F
38088,VIOLATION CUSTODY DECREE,F
38044,CONC/ETC ADOPTBL CHILD:CA,M
38045,CNCL/ETC ADOPT CHLD:O-O-S,F
38089,CONCL ADPTBL CHILD OOS,M
38055,BIGAMY,F
38090,BIGAMY,M
38016,MARRY SPOUSE OF ANOTHER,F
36009,INCEST,F
36052,SODOMY,F
36041,SODOMY:PERSON UNDER 18,F
36249,SODOMY W/PERSON UNDER 18,M
36042,SODOMY:PERSON UNDER 16,F
36043,SODOMY:UNDER 14 OR W/FORC,F
36270,SODOMY W/MNR UNDER 14 YRS,F
36271,SODOMY WITH FORCE,F
36143,SODOMY:PERSON UNDER 14,F
36146,SODOMY:USE FORCE/INJURY,F
36272,PRIOR CODE:SDMY W/MNR-14,F
36273,PRIOR CODE:SODOMY W/FORCE,F
36283,SODOMY BY FORCE/VIOL/FEAR,F
36284,SODOMY BY FORCE/VIOL -14,F
36285,SODOMY BY FORCE/VIOL +14,F
36152,SODOMY BY THREAT,F
36044,SODOMY IN CONCERT W/FORCE,F
36286,SODOMY IN CONCERT W/FORCE,F
36045,SDMY:WHILE IN PRISON/JAIL,F
36250,SDMY:WHILE IN PRISON/JAIL,M
36061,SODOMY:VICT UNCONS OF ACT,F
36251,SODOMY:VIC UNCONSC/ASLEEP,F
36252,SODOMY:VICTIM NOT AWARE,F
36253,SDMY:VIC UNAWARE:PERP FRD,F
36254,SDMY:VIC UNAWRE:PRO PURP,F
36062,SDMY:VICT INCAPBL:CONSENT,F
36103,SDMY:VIC/DEF IN MNTL INST,F
36255,SDMY:VIC/DEF IN MNTL INST,M
36087,SODOMY:NO OK:VICT DRUGGED,F
36120,SOD:VIC THINKS ITS SPOUSE,F
36290,SODOMY:VICT KNOWS PERSON,F
36099,SOD:AUTH THRET AREST/DPRT,F
11026,SEXUAL ASSAULT ON ANIMAL,M
11107,SEXUAL CONTACT W/ANIMAL,M
36298,ORAL COPULATION:-18 YRS,F
36299,ORAL COPULATION:-18 YRS,M
36300,ORAL COPULATION:-16 YRS,F
36301,ORAL COPULATION:-14 YRS,F
36302,ORAL COP:USE FORCE/INJURY,F
36303,ORAL COP:-14 FORCE/INJURY,F
36304,ORAL COP:14+ FORCE/INJURY,F
36305,ORAL COP:THREAT RETALIATE,F
36306,ORAL COP IN CONCRT W/FORC,F
36307,ORAL COP CONCERT:THREAT,F
36308,ORAL COP CNCRT:VIC INCAPB,F
36309,ORAL COP:CONCRT:FORCE -14,F
39310,ORAL COP:CONCRT:FORCE 14+,F
36311,ORAL COP:IN PRISON/JAIL,F
36312,ORAL COP:IN PRISON/JAIL,M
36313,ORAL COP:VIC UNCON OF ACT,F
36320,ORAL COP:VIC UNCON/ASLEEP,F
36321,ORAL COP:VIC UNAWARE,F
36322,ORAL COP:PERP FRAUD,F
36323,ORAL COP:FRAUD PROF PURP,F
36314,ORAL COP:VIC INCAP CONSNT,F
36315,ORAL COP:VIC IN STATE HOS,F
36316,ORAL COP:VIC IN STATE HOS,M
36317,ORAL COP:VICTIM INTOX/ETC,F
36318,ORAL COP:BY IMPERSONATION,F
36319,ORAL COP:THRT ARR/DEPORT,F
36055,L&L W/CHILD UNDER 14,F
36109,L&L W/CHILD -14:FORCE/ETC,F
36110,CTAKR L&L DEP ADL:FRC/ETC,F
36111,L&L ACTS W/CHILD:AGE SPEC,F
36150,L&L ACTS W/CHILD:AGE SPEC,M
36112,L&L W/DEP ADLT BY CARETKR,F
36151,L&L W/DEP ADLT BY CARETKR,M
37044,HARMF MATR SENT:SDUCE MNR,F
37069,SEND/ETC HRMFL:MNR:SEDUCE,M
37103,HRMF MAT SENT:SEX INT MNR,F
37104,HRMF MAT SENT:SEX INT MNR,M
37105,HRMFL MAT SENT:SEDUCE MNR,F
37106,HRMFL MAT SENT:SEDUCE MNR,M
37072,HARMFUL MAT:EMAIL/ETC:MNR,F
37073,HARMFL MAT:EMAIL/ETC:MNR,F
37074,HARMF MAT:EMAIL/ETC:MNR,M
37085,CONTACT MNR W/INTENT SEX,F
37096,CONT MNR W/INT SEX:290.46,M
37086,CONTACT MNR W/INTENT SEX,F
37097,CONT MNR W/INT SEX:290.46,M
37098,CONTACT MNR W/INTENT SEX,M
37099,CONTACT MNR W/INTENT SEX,F
36212,ARRANGE MTG W/MINOR,M
36213,SX OFF W/PRIOR ARANGE MTG,F
36214,ARRANGE/GO TO MTG W/MINOR,F
36084,CONT SEX ABUSE OF CHILD,F
36172,SDMY:VICTIM UNDER 10YRS,F
36173,ORAL COP:VICT UNDER 10YRS,F
36012,ORAL COPULATION,F
36053,ORAL COPULATION,F
36054,ORAL COPULATION,F
36046,ORAL COP:PERSON UNDER 18,F
36138,ORAL COP:PERSON UNDER 18,M
36047,ORAL COP:PERSON UNDER 16,F
36048,ORL COP:-14/ETC O/FRC/ETC,F
36274,ORAL COP W/MNR UNDER 14YR,F
36275,ORAL COP BY FORCE/FEAR,F
36136,ORAL COP:PERSON -14YR/ETC,F
36147,ORAL COP:USE FORCE/INJURY,F
36294,ORAL COP:-14 W/FRCE INJRY,F
36148,ORAL COP:THREAT RETALIATE,F
36050,ORAL COP:CONCERT:FORC/ETC,F
36080,ORAL COP IN CONCRT W/FORC,F
36097,ORAL COP:CNCRT:THREAT:RET,F
36117,ORL COP:CNCRT:VIC INCAPBL,F
36051,ORAL COP:IN PRISON,F
36149,ORAL COP:IN PRISON/JAIL,M
36060,ORAL COP:VIC UNCON OF ACT,F
36153,ORAL COP:VIC UNCON/ASLEEP,F
36154,ORAL COP:VIC UNAWARE,F
36155,ORAL COP:PERP FRAUD,F
36156,ORAL COP:FRAUD PROF PURP,F
36063,ORAL COP:VICT INCAP CNSNT,F
36088,ORL COP:VIC/DEF IN ST HOS,F
36256,ORAL COP:VIC IN STATE HOS,M
36070,ORAL COP:VICTIM INTOX/ETC,F
36118,ORL COP:VIC THINKS SPOUSE,F
36081,ORAL COP:THRT:ARST/DEPORT,F
11075,SEX PENETRATION:FORCE/ETC,F
11100,SEX PENETRATION:FORCE/ETC,F
11101,SEX PENTRATION FORCE/ETC,F
11102,SEX PENTRATION FORCE/ETC,F
11076,SEX PEN:THRET RETALIATION,F
36064,SEX/P FRGN OBJ/ETC:INCAPB,F
36079,F/OBJ/ETC:VIC/DEF:MENTAL,F
36257,SEX PEN:NO CNSENT:MENTAL,M
36071,PEN:F/OBJ/ETC:VIC UNAWARE,F
36126,PEN:F/OBJ/ETC:VIC UNCONS,F
36157,SEX/P:VIC UNAWARE ACT OCC,F
36158,SEX PEN:PERP FRAUD,F
36159,SEX PEN:FRAUD MISREP,F
36072,PEN:F/OBJ/ETC:VIC DRG/ETC,F
36098,PEN:F/OBJ/ETC:BELEV SPOUS,F
36089,SEX F/OBJ/ETC:AREST THRET,F
36073,SEX:FRGN OBJ/ETC:VIC -18,F
36258,SEX PENETRATION:VIC -18YR,M
36074,SEX PEN F/OBJ/ETC:VIC -16,F
36075,SEX PEN:F/OBJ/ETC:VIC -14,F
36324,FLEE TO CA TO AVD SEX OFF,M
36101,EMP:HAV SEX:CONF CONS ADL,M
36102,EMP:SEX:CONF CONS ADLT:PR,F
36134,SEX:EMP/ETC CONF CONS ADL,F
36142,SEX:EMP/ETC CNF/DTENT FAC,F
36325,OFCR SEX W/CONF CONS ADLT,M
36244,ENGAGING SEX ACT W/INMATE,M
36326,EMPLOYEE SEX ACT W/INMATE,F
36259,FAIL TO REG AS SEX OFFNDR,F
89005,REGISTRATION OF SEX OFNDR,X
36085,SEX OFFENDER FAIL TO REG,M
36129,FAIL REG/CHG ADD:SEX OFF,M
36130,FT/REG/ETC:FEL SEX OFF/PR,F
36169,REG FAIL RPT CONCURNT ADD,M
36170,REG FAIL RPT CONCURNT ADD,F
36137,TRANSNT SEX OFF FAIL UPD,M
36168,TRANSNT SEX OFF FAIL UPD,F
36139,F/REG/SEX OFF:ANNUAL UPD,M
36140,F/REG/SEX OFF:ANNUAL UPD,F
36189,290 VIOL SVP 90 DY UPDTE,F
36190,290 VIOL SVP 90 DY UPDTE,M
36191,290 VIOL OOS WK/STU IN CA,F
36192,290 VIOL OOS WK/STU IN CA,M
89105,COURT ORDER REGISTRATION,X
36215,FT/REG/ETC:FEL SEX OFF/PR,F
36216,FAIL REG/CHG ADD:SEX OFF,M
89104,PREREG OF SEX OFFENDER,X
36181,FAIL REG/REREGS:AFTR RELS,F
36182,FAIL REG/REREGS:AFTR RELS,M
36193,290 VIOL POST INC,F
36194,290 VIOL POST INC,M
36122,SEX REG FAIL RPT ADD CHG,F
36123,ADD CHG:SEX REG FAIL RPT,M
36125,FAIL RPT NAME CHG:SEX REG,M
36183,SEX REG FAIL RPT NAME CHG,F
36184,SEX REG FAIL RPT NAME CHG,M
36086,SEX OFFENDER FAIL REG/ETC,M
36121,FAIL REG/ETC SEX OFF/PR,F
36185,SEX VIOL PRDTOR F/VRF REG,F
36186,SEX VIOL PRDTOR F/VRF REG,M
36195,290 VIOL SVP 90 DY UPDTE,F
36196,290 VIOL SVP 90 DY UPDTE,M
36128,TRANSNT SEX REG NOT UPDAT,M
36197,290 VIOL TRAN 30 DY UPDTE,F
36198,290 VIOL TRAN 30 DY UPDTE,M
36161,SX REG:FAL PRVD PRF RESID,M
36187,FT/PRVD REQ REG INFO DOJ,M
36199,290 VIOL INFO OTH/T G1/G2,F
36200,290 VIOL INFO OTH/T G1/G2,M
36203,290 VIOL OOS WK/STU IN CA,F
36204,290 VIOL OOS WK/STU IN CA,M
89108,REG:RELEAS AFTER 07011944,X
36263,REG:CONVICTED OOS REQ OFF,M
36264,REG:CONVICTED OOS REG OFF,F
36260,290 VIOL:SEXUAL GRAT/COMP,F
36261,290 VIOL:SEXUAL GRAT/COMP,M
36276,CRT ORDR REG/FND:SEX GRAT,M
89109,REG:DUTY TO REG ON CAMPUS,X
36160,FT REG:EMP/ETC REG UNV PD,M
36145,FT REG:EMP/ETC REG CTY PD,M
36217,REG FAIL RPT CONCURNT ADD,F
36218,REG FAIL RPT CONCURNT ADD,M
36219,TRAN FAIL 30 DAY UPDATE,M
36220,TRAN FAIL REG RLS CUSTODY,F
36221,TRAN FAIL REG RLS CUSTODY,M
36222,FAIL REG GAIN/LV RESID,F
36223,FAIL REG GAIN/LV RESID,M
36224,TRAN FAIL ANNUAL UPD,F
36225,TRAN FAIL ANNUAL UPD,M
36226,TRAN FAIL PRVD FORMS INFO,F
36227,TRAN FAIL PRVD FORMS INFO,M
36228,TRAN FAIL RPT OOS MOVE,F
36229,TRAN FAIL RPT OOS MOVE,M
36230,SX OFF FAIL ANNUAL UPDATE,F
36231,SX OFF FAIL ANNUAL UPDATE,M
36201,SVP FAIL 90 DAY UPDATE,F
36202,SVP FAIL 90 DAY UPDATE,M
36232,TRAN FAIL 30 DAY UPDATE,F
36233,TRAN FAIL 30 DAY UPDATE,M
36234,SEX REG FAIL RPT ADD CHG,F
36235,SEX REG FAIL RPT ADD CHG,M
36295,SEX REG PRVD TEMP ADD CHG,F
36236,SEX REG FAIL RPT NAME CHG,F
36237,SEX REG FAIL RPT NAME CHG,M
36205,290 VIOL POST INCARC,F
36206,290 VIOL POST INCARC,M
89107,PREREG OF SEX OFFENDER,X
36238,SEX OFFENDER FAIL REG/ETC,M
36239,FAIL REG W/FEL SEX OFF/PR,F
36240,MDSO FAIL TO REG,M
36241,MDSO FAIL TO REG:W/PRIOR,F
36207,290 VIOL SVP 90 DY UPDTE,F
36208,290 VIOL SVP 90 DY UPDTE,M
36209,290 VIOL TRAN 30 DY UPDTE,F
36210,290 VIOL TRAN 30 DY UPDTE,M
36242,REG FAIL PRVD PROOF RESID,M
36211,FAIL PRVD REQD REG INFO,M
28033,COPY/ETC SEX OFFENDR DATA,M
28034,REM/ETC SEX OFFENDER DATA,M
89106,REG SEX OFF:ENTER WEBSITE,M
36289,SEX REG PAROLE:PROOF REG,M
36296,FAIL RPT SEX REG STATUS,M
50134,FAIL/ETC GIVE DNA/PRINTS,M
50155,KNOWN SUBMIT FALSE DNA,F
50156,KNOWN TAMPER WITH DNA,F
50157,KNOWN DISCLOSE DNA INFO,F
50158,KNOWN DISCLOSE DNA INFO,M
29108,SINK/ETC/SET ADRIFT VES,M
29116,INJURE/ETC 10 TON+ VESSEL,M
29106,SINK/SET 10 TON+ VES ADRF,F
53100,DISTURB RELIGIOUS MEETING,M
53113,DISTURB RELIGIOUS MEETING,M
41010,LIQUOR SALES VIOLATION,M
41011,SOLICIT LIQUOR PURCHASE,M
29117,COMD/ETC SINK/ETC VES/ETC,F
29118,SINK/ETC VESSEL/ETC,F
29092,MOOR VESSEL/DAMAGE BUOY,M
43040,SELL/ETC CAKE/ETC:ALC:MNR,M
29160,MOOR A VESSEL TO BUOY/ETC,I
29161,REMOVE/DAMAGE BUOY/ETC,M
29119,MOOR/DMAGE FEDRL BUOY/ETC,M
43036,FURN/ETC MNR W/TOBACO/ETC,M
43046,KNWLY FURN MNR W/TABACCO,M
31300,FURNISH -21 YRS W/TOBACCO,M
8041,MNR BUY SMOKING PARAPHNAL,I
8034,MNR BUY SMOKING PARAPHERN,I
31216,FAIL TO POST NOTICE REQ,M
31222,SELL/ETC BIDIS/BEEDIES,M
31221,SELL IMPRPLY SEAL/ETC CIG,I
31310,MFG/SELL CIG PACK LESS 20,I
31251,ALC/TOBC ADV IN VIDEO GAM,M
55178,DIST UNSOLICITED TOBACCO,M
43009,KEEP MINOR IN BROTHEL,M
8005,MINOR ATTEND PRIZEFIGHT,M
8045,MINOR ATTEND BIRD FIGHT,M
55164,GIVE/ETC DIURETIC/ETC:MNR,M
36107,GARD/PERP CNTRACT SEX:MNR,M
37060,SEND/SELL/ETC OBS MTR:MNR,F
37075,SEND/SELL/ETC OBS MTR:MNR,M
37101,ADV OBSCN MTR DEPIC MNR,M
37102,ADV OBSCN MTR DEPIC MNR,F
37050,ADV OBSCN MTR DEPIC MINOR,F
37089,ADV OBSCN MTR DEPIC MINOR,M
37061,POSS/ETC OBS MTR:MNR:SEX,M
37087,POSS/ETC OBS MTR:MNR:SEX,F
37088,POSS OBS MTR:MNR:ATTEMPT,F
37107,OBSCN IMAGS:MNR SEX ACT,F
37108,OBSCN IMAGS:MNR SEX ACT,M
37109,OBSCN MAT:MNR SEX SADISM,F
37110,OBSCN MAT:MNR SEX SADISM,M
37018,SEND/POS/ETC OBSCEN MATER,M
37024,SEND/POS/ETC OBS MTR:W/PR,F
37019,OBS MATR OF MNR:COMRCIALY,F
37030,OBS MATR OF MNR TO MNR:PR,F
37031,OBSCEN MATR OF MNR TO MNR,M
37034,OBS MTR:MNR:DIST/ETC MNR,F
37065,SEX EXP CHILD:DEPICT SEX,M
37066,SEX EXP CHLD:DEPIC SEX:PR,F
37078,SEX EXPLOIT MNR:SEX ACT,M
37100,SEX EXPLOIT MNR:SEX ACT,F
37079,SEX EXP MNR:SEX INTERCRSE,M
37090,SEX EXP MNR:SEX INTERC:PR,F
37080,SEX EXP MNR:PEN W/FRN OBJ,M
37091,SEX EXP MNR:PEN W/OBJ:PR,F
37081,SEX EXP MNR:MASTURBATION,M
37092,SEX EXP MNR:MASTURBAT:PR,F
37082,SEX EXP MNR:SADOMAS ABUSE,M
37093,SEX EXP MNR:SADOMAS:PR,F
37083,SEX EXP MNR:EXHIB GENITAL,M
37094,SEX EXP MNR:EXHIB GNTL:PR,F
37084,SEX EXP MNR:DEFECATION,M
37095,SEX EXP MNR:DEFECATE:PR,F
37020,USE/ETC MNR:OBSCENE MATER,M
37037,USE/ETC MNR OBS MATR W/PR,F
37021,USE/ETC MNR:CMRCL OBS MTR,F
37025,USE/ETC MNR:OBSCENE MATER,F
37011,ADV/ETC OBSCENE MATTER,M
37038,AD/ETC OBSCEN MATTER W/PR,F
37013,OBSCENE LIVE CONDUCT:PUB,M
37014,MAKE DLR BUY OBSCN MTR,M
37039,MAKE DLR BUY OBSCN MTR:PR,F
37035,SEL/ETC HARM MAT:MNR W/PR,F
37036,SELL HARMFUL MATTER MNR,M
37017,FAK PARENT:MNR SEE H/MATR,M
37040,FAK PARNT:MNR SE H/MAT:PR,F
37063,HARM MTR:PUB VEND MACH:PR,F
37064,HARM MTR:PUB VEND MACHINE,M
37067,HARM MTR:UNSUP VEND MACH,M
37068,HRM MTR:UNSUP VEND MAC:PR,F
37076,HARMF MATR:ADLT ONLY AREA,I
37077,HARMF MATR:ADLT ONLY AREA,M
36018,INDECENT EXPOSURE,M
36056,INDECENT EXPOSURE W/PRIOR,F
36100,IND EXP:ILL ENTR OCC DWEL,F
36279,INDECENT EXPOSURE,F
36019,ASSIST INDECENT EXPOSURE,M
40013,KEEP HOUSE OF ILL FAME,M
40014,KEEP DISORDERLY HOUSE,M
40015,VISIT FOR GAMBLING/PROST,M
39004,LOTTERY,M
39005,DRAWING LOTTERY,M
39006,SELL LOTTERY TICKETS,M
39007,AID LOTTERIES,M
39008,KEEP/AD LOTTERY OFFICE,M
39009,INSURE LOTTERY TICKETS,M
39010,LET BUILDING FOR LOTTERY,M
39042,REC/PAY BINGO GM WAGE/ETC,M
39043,BINGO PRIZE EXCEEDS MAX,M
39044,ENDLESS CHAIN SCHEME,F
39012,GAMBLING,M
39016,MFG/SELL/POSS GAMING DEV,M
39017,POSS/CONTROL SLOT MACHINE,M
39013,POSS/CONTROL SLOT MACHINE,M
39079,MFG/SELL SLOT MACHINE,M
39015,PUNCHBOARDS,M
39018,PERMIT GAMBLING IN HOUSE,M
26303,OBT MON:FRAUD:CARDS/ETC,M
26304,OBT $:FRAUD:CARDS $400+,F
50025,WITNESS FTA AT TRIAL,M
39038,HIDDEN DEVICE TO DEFRAUD,M
39039,HIDDEN DEVICE TO DEFRAUD,F
39050,MFG/ETC MECH DEV:DEFRAUD,M
39051,OWN/OPR RAZZLE-DAZZL GAME,M
39019,FAIL ENFORCE GAMING LAWS,M
43011,LET MNR GAMBLE IN SALOON,M
39076,PARTICIPATES BETTING POOL,I
51022,GAMING VIOLATION,F
39032,TOUTING,M
39033,TOUTING/ATTEMPT TOUTING,M
39311,TOUTING/ATTEMPT TOUTING,F
39034,USE RACE OFFCL NAME:TOUT,F
23141,OBT OVER SPEC AMOUNT:TOUT,F
39035,TOUT REFUSE TO LV TRACK,M
26012,USE RACE LIC FRAUDULENTLY,F
39036,USE CREDENTIAL TO TOUT,F
39312,POOL SELLING/BOOKMAKING,M
39313,KEEP/ETC BOOKMAKING PLACE,M
39314,RCV/HOLD GAMBLING STAKES,M
39315,RECORD/REGISTER BET/WAGER,M
39316,PERMIT GAMBLING PREMISES,M
39317,LAY/MAKE/ACCEPT WAGERS,M
39021,POOL SELLING/BOOKMAKING,F
39022,KEEP BOOKMAKING PREMISES,F
39023,HOLD GAMBLING STAKES,F
39024,RECORD BETS OR WAGERS,F
39025,KEEP GAMBLING PREMISES,F
39026,ACCEPT WAGERS,F
39067,BOOKMAKING W/PRIOR CONV,M
39077,BOOKMAKING W/PRIOR CONVIC,M
51023,BRIBE SPORT CONTESTANT,F
51024,CONTESTANT ACCEPT BRIBE,F
51025,OFFER BRIBE TO UMPIRE/ETC,F
51026,UMPIRE/ETC ACCEPT BRIBE,F
39027,CONSP STIMULATE RACEHORSE,F
39070,CONSP STIMULATE RACEHORSE,F
39071,CONSP STIMULATE RACEHORSE,M
39072,KNLY ENTER DRUG RACEHORSE,F
39073,KNLY ENTER DRUG RACEHORSE,M
39074,ENTER RACEHORSE FICT NAME,F
39075,ENTER RACEHORSE FICT NAME,M
39049,STIMULATE/DEPRESS HORSE,F
39047,ENTER DRUGGED RACEHORSE,F
39048,ENTER RACEHORSE FICT NAME,F
39028,DRUG IN RACE INCLOSURE,M
39029,DRUG ANIMAL,M
39030,TRANSMIT RACE RESULTS,F
39318,TRANSMIT HORSERACE RESLTS,M
39068,UNLAWFUL OPR CONTRLD GAME,M
39319,OPR CONTROLLED GAME W/PR,F
39320,RCV COMP/REV CNTL GAME,M
39321,RCV COMP CNTL GAME W/PR,F
39322,MFG/DIST/ETC GAMBL EQUIP,M
39323,MFG/DIST/ETC GAMBL EQUIP,F
39324,PRMT CNTL GAME BLDG/ETC,M
39325,PRMT CNTL GAME BLDG W/PR,F
39326,PRMT MFG/ETC GAMBL EQUIP,M
39327,PRMT MFG GAMBL EQUIP W/PR,F
39328,ADVERT NONPARIMUTUEL WAGR,I
39329,ADV NONPARIMUT WAGR W/PR,M
39031,PLAY/ETC DRAW POKER,M
39055,ALTR OUTCOME GAMBLNG GAME,M
39056,ALTER WAGER:OUTCOME KNOWN,M
39057,CLAIM MONEY W/INT DEFRAUD,M
39058,ENTICE OTHER TO GAMBLE,M
39059,PLCE BET AFTER KNOW OUTCM,M
39060,CANCL BET AFTR KNOW OUTCM,M
39061,MANIPULATE WIT CHEAT GAME,M
39062,POS DEVICE:DET OUTCM GAME,M
39063,UNLWFL USE COUNTRFT CHIPS,M
39330,KNWNGLY USE UNAPPRVD CHIP,M
39331,"POSS DVC VIOL 337U,V,X,Y",M
39332,POSS DVC OPEN/ETC GAME,M
39333,POSS PARAPH FOR MFG SLUGS,M
39064,UNLWFL:CHEAT GAMBNG ESTAB,M
39065,UNLWFL MFG PROHIB DEVICE,M
39066,UNLWFL MARK GAME DEVICE,M
39334,INSTRCT OTHER IN CHEATING,M
31004,FAIL SHOW GLD BULLION REC,M
53084,TICKET SCALPING,M
55110,WILFUL POISN/ETC FOOD/ETC,F
55283,WILFUL POISN/ETC FOOD/ETC,F
55111,FALSE REPORT OF POISON,F
55297,FALSE RPRT POISON IN FOOD,M
55005,POISONOUS ALCOHOL,M
25054,MFG/SELL COUNTERFEIT MARK,M
25069,MFG/SELL COUNTERFEIT MARK,F
25100,MFG/SEL -1000:COUNTRFT MK,M
25101,MFG/SEL 1000+ COUNTRFT MK,M
25102,MFG/SEL 1000+ COUNTRFT MK,F
25068,MFG/SELL COUNTRFT MK W/PR,F
25110,MFG/SELL COUNTRFT MK W/PR,M
25121,MFG/SELL CNTRFEIT MK GBI,F
26013,SALE OF GOODS VIOLATION,M
23006,DEFACE MARKS,M
23007,DEFACE MARK ON LUMBER,M
50026,SOLEMNIZE INCEST MARRIAGE,M
50027,PERFORM ILLEGAL MARRIAGE,M
50028,HABEAS CORPUS VIOLATION,M
50029,HABEAS CORPUS VIOLATION,M
50030,HIDE PERSON:HABEAS CORPUS,M
56011,INNKEEPER REFUSE GUEST,M
55258,VIOL PUB CONVEY:DISAB/DOG,M
55259,OBSTRUCT SERVICE DOG/USER,M
26366,FLS REP OWN GUIDE/ETC DOG,M
55224,HARM/DEATH:ELDER/DEP ADLT,F
55225,ELDER/DEP ADLT:HARM/DEATH,M
55226,ELDER/DEP ADULT CRUELTY,M
55227,THEFT:ELD/DEP ADULT $400+,F
55228,THFT ELDER/DEP ADLT -$400,M
55294,THFT ELDER/DEP ADLT -$950,M
55295,THFT ELDER/DEP ADLT $950+,F
55229,ELD/ETC THEFT BY CARETAKR,F
55230,THEFT:ELD/ETC BY CARETAKR,M
55245,FLSE IMPRISON:ELD/ETC:VIO,F
32116,LEAVE RAILROAD GATE OPEN,M
32076,DRIVE/RIDE/ETC RR TRACK,M
32117,DRV VEH ON RLRD W/O AUTH,M
55006,ERECT SIGN:MISLEAD RR EMP,M
32077,TRESPASS:RAILROAD PROPRTY,M
32081,TRESPAS:RAIL TRANSIT PROP,M
55007,PUBLIC NUISANCE,M
55008,MAINTAIN PUBLIC NUISANCE,M
55010,MAINTAIN NUISANCE AFT NOT,M
55124,DUMP/ETC SUB IN SEWER,M
55300,DUMP HARMF SUBST SEWER PR,F
55217,DUMP WASTE/ROCKS/ETC,I
55250,DUMP WASTE:OFFENSE MATTER,I
55274,DUMPING:PUB/PRIV:NO CNST,I
55184,DUMP/ETC WASTE:COMRCL AMT,M
55103,LITTER PUB/PRIVATE PROP,I
55207,LITER PUBLIC/PRIVATE PROP,I
55211,LIT:HEALTH/SAFETY/ETC HAZ,I
55301,DUMP GREASE WASTE IN TRAP,M
55286,DUMP GREASE WASTE:WATER,M
55119,LITTER WATERS OR SHORE,M
55128,DUMP HAZRD:ROAD/WATER/ETC,M
55129,DUMP HAZARD SUB:ROAD/WATR,F
55013,SHOOT ON PUBLIC ROAD,M
55014,LEAVE DEAD ANIMAL,M
55085,OFFENSIVE SUB:PUB PLACE,M
55087,OFFENSIVE SUB:PUB PLACE,F
55088,POSS OFFENSIVE MTR TO USE,M
55089,USE OF TEAR/MUSTARD GAS,F
44007,IMPERSONATE TO GET DRUGS,M
55270,SELL/ETC SALVINORIN TO-18,M
35234,SELL TOLUENE PRSN UND 18,M
35216,POSSESS/ETC TOLUENE/ETC,M
35233,POSS SIMILAR TOLUENE SUB,M
55022,FALSE DAIRY PRODUCT TEST,M
35235,POSSESS NITROUS OXIDE,M
35408,SELL NITROUS OXIDE TO MNR,M
35457,DISP/DIST NITROUS GBI/DTH,M
35458,FLR TO KEEP NITROUS RCRDS,M
55023,ADULTERATE FOOD/DRUGS/ETC,M
55157,UNLIC ADM SUCSTRN:DOG/CAT,M
55024,DINITROPHENOL VIOLATION,F
55025,SELL EYEBROW DYE CHEMICAL,F
55158,PRESC/ETC SILCONE:INJECTN,M
55026,SELL ADULTERATED FOOD/ETC,M
55027,PROCESS BUTTER W/O LABEL,M
55028,FRAUD SALE OF KOSHER MEAT,M
55302,FRDLNT SALE OF HALAL MEAT,M
55029,TELEPHONE VIOLATION,M
